"Course Long Title","Minimum Credits","Maximum Credits","This course fulfills:","Course Description"
"History of Africa to 1880","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","Survey of African history from the earliest times to roughly about 1880.  The course begins with the historical development of Africa's still-vital cultural, linguistic, social and economic systems and moves on to examine the Islamic and Christian impact on these systems through the era of Atlantic slave trade.  The course concludes by discussing the ways in which early European colonialism affected the African past. (Same as HIST 171 and IDS 171)"
"History of Modern Africa","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course surveys the history of sub-Saharan Africa from the 1880s to the present.  The course examines African life under European colonial domination (from about 1880 to about 1960) and under independent states which succeeded colonial governments after 1960.  A primary aim of this course is to explore the diversity of human experience in Africa during the colonial and post-colonial periods.  The course makes use of several primary documents to portray ways in which men and women have dealt with the challenges of living in 20th- and 21st-century Africa. (Same as HIST 172 and IDS 172)"
"Anthropology in East Africa: Forces of Culture Change Among the Massai","4","-","-","The Maasai pastoralists of Tanzania and Kenya are experiencing rapid culture change in response to global, national, and local forces.  In this course we will study ""traditional"" Maasai culture and examine the ways in which the Maasai of northern Tanzania are adapting to changing social, political, economic, and environmental conditions. Topics to be explored include the shift from herding to agropastoralism; the tension between traditional and formal modes of education; the adoption of Christianity in place of or alongside traditional religion; changes in coming-of-age rituals; cultural dimensions of health, illness and healing; challenges to traditional gender ideology; the Maasai relationship to their environment; and the impacts of ecotourism, cultural tourism, and wildlife conservation programs on the pastoral way of life.  From bases near the city of Arusha and the small town of Monduli students will interact with Maasai people in urban and rural marketplaces; in schools, medical facilities, and places of worship; and at Maasai bomas (family compounds) in the bush.  We will also visit the Ngorongoro Crater Conservation area and the Oldoinyo Lengai volcano and pilgrimage routes in in order to explore the tension between pastoralism, wildlife conservation programs, and tourism.  Offered January term. (Same as ANTH 221 and IDS 221)"
"The Long Civil Rights Era: Black Nationalism to Black Power","4","-","-","Adopting a ""Long Civil Rights Movement"" framework, we will examine how African Americans adopted various strategies to bring effective meaning tot their citizenship status and expand the boundaries of American democracy.  Instead of limiting our study to the ""classical phase"" of the movement between 1954 and the early 1970s, we will begin in the 1930s and end with contemporary activism such as the Black Live Matter movement.  Through an extended periodization of what is traditionally considered the Civil Rights Movement, the class reveals how the struggle for civil rights was not a singular moment in the mid 20th century, by a sustained, multidimensional, ideologically diverse movement that continues to the present.  Using a range of primary and secondary sources, we will pay particular attention to the regional dynamics of African American civil rights movements and the role of gender in these movements.  (same as HIST 235 and IDS 235)"
"Africana Women's Writing","4","-","-","A study of writing by selected Africana women writers from Africa, the Caribbean, the United States and elsewhere in the African diaspora.  Topics may vary by geographic region or theme. (Same as ENG 240 and IDS 240)"
"Literature of the African Peoples","4","-","Textual Literacy (TXT-L)","Modern African writers are some of the most dynamic and innovative writers as they draw from and respond to different literary traditions, such as their own oral and written traditions, as well as European models.  This course serves as an introduction to the various themes and styles of written literature of the 20th century.  Central to discussion will be an analysis of gender within various African cultural contexts.  Understanding constructions of masculinity and femininity, dominant female and male roles in society, and the ways in which the works challenge traditional norms of gender will be priorities within applied theoretical approaches. (Same as ENG 243 and IDS 243)"
"History of Jazz","4","-","-","A survey of the history and development of jazz, from the 1890s to the present. Includes origins and early jazz through the modern jazz era. Listening activities focus on the major figures of each historical period. Offered alternate years. (Same as MUS 247 and IDS 247)"
"African-American Literature","4","-","Textual Literacy (TXT-L), Social & Environmental Justice (SEJ)","A survey of African-American literature, drawing primarily from 19th, 20th, and 21st century works. Contributions from authors such as Frederick Douglass, Harriet Jacobs, David Walker, Zora Neale Hurston, Ralph Ellison, Toni Morrison, and Ta-Nehisi Coates combine their artistic craft with acute interrogations of their socio-political environments.  Thus, the course focuses on how both fictional and non-fictional Black literature grounds itself in its respective historical context and addresses themes of social justice.  Class discussions will pay special attention to the intersection of race, class, and gender as writers engage with this struggle to achieve the American promises of freedom and equality (Same as ENG 251 and IDS 251)"
"African Diaspora","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course explores the global experiences of people of African descent. Students will study the human experiences of Africans in the Indian Ocean world, the trans-Saharan trade and the Trans-Atlantic slave trade. Geographical areas include Asia, the Caribbean, and Latin America. Particular attention will be given to the web of interrelated histories, social dynamics, political, and economic processes affecting and reflecting world cultures and histories. (Same as HIST 271 and IDS 271)"
"Topics in African American History","4","-","-","In-depth study of a selected topic in African American history.  Instruction in this course will require students to read and access monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  Topics may include but are not limited to:  Black Family History; Black Urban History; The Hip Hop Generation, 1975-2015."
"Constructs of Race and Racialization","4","-","-","This course examines the social construction of race as a concept and the racialization of US society. An assessment of how racialization has changed over time and has created various interactions between groups from Whites and enslaved Africans, Mexicans and Native Americans to present day race relations. We also examine how racialization both determines and impacts social structures and the attainment of societal honors, rewards and power in modern society. (Same as SOC 345 and IDS 345)"
"Topics in African History","4","-","-","In-depth study of a selected topic in African history. Instruction in this course will require students to read and assess monographs by African historians on the topic. Topics may include but are not limited to apartheid in South Africa and Zimbabwe, decolonization, nationalism, environmental history of sub-Saharan Africa. (Same as HIST 371 and IDS 371)"
"Topics in Africana History","4","-","-","In-depth study of a selected topic in Africana history, emphasizing links between the African continent and the African diaspora.  Instruction in the course will require students to read and assess monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  AFRS 391/HIST 391 explores how people of African descent on the continent and in the diaspora interacted with each other and with European colonial powers.  The course explores interactions across empire and national boundaries as well as between different cultural groups.  Topics may include but are not limited to: Comparative Slavery, Pan-Africanism, Black Internationalism."
"Cultural Anthropology","4","-","Social Systems Literacy (SOC-L)","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world."
"Biological Anthropology","4","-","-","Biological anthropology focuses primarily on the physical development of the human species.  This course serves as an introduction to the various lines of inquiry that comprise this sub-field of anthropology.  Primary topics include a survey of human biological and cultural evolution, genetics and the mechanics of evolution, non-human primates, and forensic anthropology."
"Linguistic Anthropology","4","-","Social Systems Literacy (SOC-L)","An introduction to human language, with an emphasis on the relationship between language and culture. Topics include the origin and evolution of language, language acquisition, language and society, and current issues in linguistic anthropology, such as lanuage ideologies and their social, political, and economic implications.  Students will gain hands-on-experience with the methods and techniques of linguistic anthropology."
"Archaeology","4","-","Social Systems Literacy (SOC-L)","Archaeology is the study of the human past through material remains. This course introduces students to the fundamental techniques employed by archaeologists to reconstruct the past. In addition to exploring the basic methodological foundations of archaeology this course provides an overview of world archaeology, including major developments in human prehistory and significant archaeological sites."
"Are You a Neanderthal?","4","-","Textual Literacy (TXT-L)","Who were the Neanderthals and what does it mean if you are descended from them?  This class will use popular culture and our current scientific view of Neanderthals as a way of answering these questions.  The depictions of Neanderthals and cavemen in movies, television, literature, and art will be analyzed to see how they have been used to define what it means to be human.  The class will also examine both the history and current scientific view of Neanderthals as a way of understanding our relationship to Neanderthals and their place within the human family."
"Going Global: Preparing to Study Abroad","1","-","-","This course will prepare you to travel to another country and immerse yourself in another culture. Successful study abroad involves ethical, culturally sensitive, active engagement with your  host culture and requires developing habits of purposeful self-reflection. Together we will critically examine our motivations and goals for studying abroad, explore visible and invisible dimensions of culture, enhance our understanding of cultural self-identity, and raise awareness of the lens through which we view others and others view us. Ultimately you will learn important skills that will empower you to become a culturally sensitive and self-reflective traveler in life rather than just a tourist."
"Environmental Anthropology","4","-","-","The study of the environment in anthropology addresses problems that not only threaten our ecology but also human existence on the planet. This course will demonstrate the importance of anthropological theory and practice for solving environmental problems and for understanding people's responses to them. The course will begin by laying the theoretical foundations of environmental/ecological anthropology. Then it will be structured around what are seen in anthropology as the key environmental questions arising from increased interaction and unequal exchange among widely different cultures: population growth, economic development and underdevelopment, the loss of biodiversity, environmental management, the future of indigenous peoples, environmental campaigns and collaborations within the context of the politics of natural resources, and the connections between consumption and globalization. "
"Migration and Borders in a Global Age","4","-","-","This course captures the broadest possible spectrum of the migration experience, from the violence and suffering caused by the practices of social, economic, political, and cultural exclusion, to the sympathy, solidarity, and respect expressed in practices of social inclusion.  Students will engage in critical reading of contemporary ethnographies of migration to explore: (1) how global migration flows are shaping the lives of persons who move across national borders, and (2) how these people are affected by the practices of social exclusion or invisible borders.  The case studies will mainly focus on undocumented migration between Latin America and the United States, but other world areas will also be considered."
"Religion and Culture","4","-","-","What is religion? When and how did it develop? Is religion a human universal? What features, if any, are common to all religions? How and why do religions change, and what happens when different systems of religious belief and practice come into contact? This introduction to the anthropology of religion explores these questions and others through in-depth case studies from the ethnographic literature, comparisons made across cultures, and the theoretical works of anthropologists and other scholars. Though some attention is given to the world's major religions, the course emphasizes the religious traditions of indigenous peoples around the globe.(Students may use this course to fulfill either the second Religion requirement or the Human Behavior requirement, but not both.)"
"Medical Anthropology","4","-","Social Systems Literacy (SOC-L)","Medical Anthropology explores health, illness, disease and medicine across the globe. Using anthropological principles, we explore how medical knowledge and practices are culturally and socially constructed.  Key topics of the course include: interactions between various ethnomedical systems, including biomedicine; healers and healing professions; ideologies of the body; beginnings and ends of life; the role of new biomedical technologies and the pharmaceutical industry; political and moral economies of health in the global context.  Our course will focus on some key texts in medical anthropology as well as new ethnographies that address intercultural encounters in medical settings."
"Born to Run","4","-","Social Systems Literacy (SOC-L)","Humans possess a capacity for endurance running that is virtually unmatched in the natural world. This course uses each both biological and cultural perspectives to provide insights into the ""how"" and ""why"" of running.  The physiology of long distance running can only be understood by studying the larger environmental and behavorial conditions under which it evolved.  Similarly, ethnographic accounts from various cultural groups provide essential insights for understanding the social and cultural dimensions of running among modern humans."
"Qualitative Research Methods in Anthropology","4","-","-","This course will introduce students to qualitative research methods in anthropology. The goal is to provide training and hands-on experience in designing a research project, carrying out ethnographic fieldwork, and analyzing the data. Students will get an opportunity to work on projects of their choice and select appropriate methodologies, including participant observation, different types of interviewing, and other systematic observation techniques. Students will learn how to construct interview schedules, administer sorting and ranking surveys, use time recall questionnaires, ethnographic taxonomies, life histories, genealogies, and focus groups. The writing component will include field notes, reports, and personal journals. Students will engage in multiple re-writes of their final reports, aided by peer review. In this process, we will pay special attention to ethics involving research with human subjects. Offered alternate years."
"Quantitative Research Methods in Anthropology","4","-","-","Effectively understanding cultural behavior requires asking the right questions and correctly interpreting the resulting answers. Often, the best way to address these questions requires the collection of quantitative data. This course will use case studies from cultural anthropology, archaeology, and physical anthropology, as well as student-generated research as means for learning how to design anthropologically relevant research questions, identifying the appropriate ways of acquiring the data required to successfully address these questions, and evaluating the results. Finally, we will address the ethics of anthropological research. "
"Anthropology in East Africa: Culture Change Among the Maasai","4","-","-","The Maasai pastoralists of Tanzania and Kenya are experiencing rapid culture change in response to global, national, and local forces.  In this course we will study ""traditional"" Maasai culture and examine the ways in which the Maasai of northern Tanzania are adapting to changing social, political, economic, and environmental conditions. Topics to be explored include the shift from herding to agropastoralism; the tension between traditional and formal modes of education; the adoption of Christianity in place of or alongside traditional religion; changes in coming-of-age rituals; cultural dimensions of health, illness and healing; challenges to traditional gender ideology; the Maasai relationship to their environment; and the impacts of ecotourism, cultural tourism, and wildlife conservation programs on the pastoral way of life.  From bases near the city of Arusha and the small town of Monduli students will interact with Maasai people in urban and rural marketplaces; in schools, medical facilities, and places of worship; and at Maasai bomas (family compounds) in the bush.  We will also visit the Ngorongoro Crater Conservation area and the Oldoinyo Lengai volcano and pilgrimage routes in in order to explore the tension between pastoralism, wildlife conservation programs, and tourism.  Offered January term. (Same as AFRS 221 and IDS 221)"
"Pre-Columbian and Native American Art","4","-","-","This course will examine the diverse artistic traditions of the Americas from the pre-contact period to the present day. Emphasis will be placed on situating artistic production within its cultural context and examining how pre-contact practices continue to inform contemporary artistic production. (Same as ART 264)"
"Experimental Archaeology","4","-","-","The anthropological study of material culture and technology provides a wealth of information about human behavior. This course will use ethnographic analogy and experimental archaeology as tools for reconstructing a specific example of prehistoric technology. We will search for and analyze relevant ethnographic data, design and implement replicative experiments based on this data, and evaluate the effectiveness of the results for interpreting the archaeological record. In the process of recreating past technology we will explore how the analysis of material culture and technology can be used to understand topics such as cognition, social boundaries, gender, and symbolism."
"Field Methods in Archaeology","6","-","-","This is a hands-on experience in archaeological field techniques offered in the summer. Students will be instructed in the fundamental skills required to do field archaeology while conducting surveys, mapping, and excavations on real archaeological sites. This is a labor intensive course that requires students to participate in field work and data management procedures daily, possibly including some evenings (depending on weather conditions). This course is the equivalent of a full-time job and synthesizes classroom study with real world experiences.  Offered alternate summers (even years)."
"Consumerism and Sustainability: An Anthropological Perspective","4","-","-","Consumerism and Sustainability: An Anthropological Perspective. The world is in the midst of unprecedented social and cultural changes. One important dimension of this global change is the dramatic increase in the consumption of goods manufactured, designed and/or marketed by corporations based mainly in Europe and North America. The consumption of 'northern'goods of all kinds threatens the stability and diversity of the natural environment in many ways. Some also argue that, at the local level, consumption constitutes the greatest contemporary threat to the continued existence of local traditions, local cultures and local economic autonomy. In this course, we will pay special attention to some of the linkages between consumer culture and environmental problems, tracing the chains of cause and effect that connect particular kinds of consumption to specific places, resources, people, and interests. At the end of the course, we will discuss about the anti-consumption, sustainable consumption and other activist strategies for changing the direction of consumer society, possibly including a field visit to an off-the-grid farm in the Decorah area. "
"Remote Sensing in Archaeology","4","-","-","The use of technology to remotely detect and  investigate archaeological data in a noninvasive  manner is an increasingly important component of  modern archaeological research. This class  examines the history, theory, and application of  various remote sensing methods, with an emphasis  on near surface geophysical and aerial  photography methods.  Students will apply this  knowledge to design and implement a remote  sensing nvestigation of a local archaeological  site and learn how to analyze, interpret, and  present the resulting data."
"Sugar, Strawberries and Pills: Anthropology of Commodity Chains","4","-","-","Our class will embark on an exploration of social  histories of commodity chains, such as sugar,  oil, diamonds, coffee, strawberries,  pharmaceuticals, and others. We will explore the  ways in which commodity flows connect people,  places, images, ideologies, and capital around  the globe in multidirectional, hierarchical, and  uneven exchange. We will contextualize the  large-scale political, economic, and cultural  processes in the everyday realities of particular  societies and everyday experiences of regular  people. In other words, this course will study  globalization from below. We will address  questions such as: how do men and women around  the world engage with various commodities? How is  globalization implicated in people's wellbeing,  occupations, family lives, intimacies, futures?  Our class will challenge you to think about the  interactions between the issues of social  justice, human rights, and the anthropological  dedication to cultural rights. Ultimately, we  will consider what the commodity chains mean to  stability and prosperity of various communities  around the world, as well as challenge us to see  where we are positioned in the flow of certain  commodities."
"Social Theory and Praxis","4","-","-","This course gives students knowledge of the classical and contemporary perspectives on human social behavior.  Students will explore the rise of modern anthropology and sociology looking at a sample of various schools of thought that have shaped both disciplines, including an in-depth analysis of contemporary anthropological & sociological discourse, application of these perspectives to current events, and discussion of the ethical considerations involved.  The ultimate goal of this course is to provide students with a comprehensive understanding of the fields of sociology and anthropology, as well as, the skills required to negotiate current trends in these sister disciplines.  This course should be taken during the junior year and is highly recommended for students considering further study in graduate school. (same as SOC 307)"
"Gender, Health and Medicine","4","-","Social & Environmental Justice (SEJ)","This class will invite students to examine gender and health issues around the globe, focusing primarily on reproductive health.  The class uses a multidisciplinary perspective, which involves insights from anthropology, global health, sociology, women and gender studies, and related disciplines.  The course will focus on different themes, responding to current developments in the world.  Our goal is to understand how bodies and health are connected to the overarching social and environmental issues, as well as to see how people have made sense of their bodies, identities, and health experiences.  Offered alternate years. (Same as IDS 331)"
"Anthropological Theory","4","-","-","This course explores the rise of modern anthropology and the various schools of thought that have shaped the discipline, including an in-depth treatment of contemporary anthropological discourse. We will discuss the issues and approaches that define the anthropological approach as well as the ethical considerations involved in anthropological inquiry. The ultimate goal of this course is to provide students with comprehensive understanding of the field of anthropology and the skills required to negotiate current trends in the discipline. This course should be taken during the junior year."
"Anthropology in the Real World","4","-","-","This capstone course will explore what it means to be an anthropologist today and prepare students for the various career paths that utilize anthropological knowledge, perspectives, and skills.  Students will learn about diverse career paths in anthropology and explore a number of professional development exercises.  Students will also have an opportunity to consider the ethical and professional obligations to the many constituencies they serve and critically examine various applications of anthropology to contemporary issues."
"Foundations: Circa Now","4","-","Creative Literacy (CRE-L)","This course introduces studio art in an academic context establishing the basics of visual language and the creative tools in the exploration, creation, and critique of artworks.  Through individual and group investigation we will explore recent and current trends in contemporary art practice.  This course will balance making, research, and discussion through various assignments.  This is an open media course, meaning that students will approach physical work through a variety of approaches given various prompts.  Technical ability will be discussed but not evaluated, instead of our focus will be on engagement and approach to ideas and creative goals."
"Drawing","4","-","Creative Literacy (CRE-L)","This course introduces basic aesthetic and technical aspects of drawing to students as they work to address the challenge of thinking and creating in two dimensions.  The course will initially focus on images drawn from observation while the later part of the course will apply those skills to drawing imagination and conceptual prompts.  Students will refine their visual language in drawing through critique, research, and making."
"Painting I","4","-","Creative Literacy (CRE-L)","An introduction to painting methods and color theory using water and oil based materials.  Contemporary issues in painting will be addressed using representational and conceptual frameworks.  Context for painting language in a larger art world will be addressed through discussion, research projects, and critiques."
"Art and Technology","4","-","-","This studio course examines the intersection of art and technology with particular attention to the ways that software, video, and interaction are used to produce emerging art forms and genres. Instruction will focus on object-oriented programming, application and algorithm design."
"Graphic Design I","4","-","Creative Literacy (CRE-L)","This course introduces students to the use of raster and vector graphics applications as advanced art-making tools. Students will produce static 2-dimensional works of art that simultaneously explore design concepts and the cognitive processes of software learning.  Through regular critique students will engage in the ideation and refinement process, and through regular class discussions topics of contemporary and historical design and advertising will be explored."
"3D Modeling and Animation","4","-","-","Course will cover computer based 3-D animation with emphasis on creative content, experimentation and critical thinking. Advanced software and hardware will be used to explore modeling, texturing, physics simulations, and animation. Offered alternate years. "
"Life Drawing","4","-","-","This studio course provides students with a thorough understanding of the structural anatomy of the human figure with emphasis on proportion, weight distribution, form and mass."
"Clay Sculpture I","4","-","Creative Literacy (CRE-L)","This course is designed as a survey of ceramic methods focusing on hand-building and other sculptural processes and a variety of surfacing and glazing techniques  Aspects of ceramic history and contemporary practices will also be explored.  Assignments will focus on technical applications while engaging ideas engendered in the material of clay and ceramic objects in the creation, critique and reflection of ceramic artworks."
"Applied Illustration","4","-","-","This studio/lab course introduces students to the use of illustration across a number of disciplines and case uses.  Students will be exposed to illustration in character design, animation and sequential storytelling.  Course products will include character and environment sheets, short animations, info-graphics and a graphic novelette."
"Printmaking I","4","-","Creative Literacy (CRE-L)","An introduction to the aesthetic and technical considerations of the printed image through exploration of relief, intaglio, and monotype printmaking methods.  The course requires students to develop a small body of work and to refine their visual language in printmaking through critique, reflection, and making."
"Wheel Throwing I","4","-","Creative Literacy (CRE-L)","This course is an introductory pottery course focusing on the design and creation of functional ceramics following form and function.  Students will explore beginning wheel and off-wheel clay forming and surfacing techniques in the making of utilitarian ceramic objects, specifically bowl and cup forms.  In this pursuit, students will explore and enact aspects of Art and Design via form, function, and surface.  Through midterm and final projects students will activate the creative process through research and investigation, experimentation and creation, and reflection and critique of their functional ceramic works."
"Photography I","4","-","Creative Literacy (CRE-L)","This course combines lectures with hands-on experience in digital photography.  Instruction includes technical aspects of digital photography, including camera function, exposure control, and creative control, as well as discussion on the contemporary and historical impact of the medium.  The format of the class includes lectures, visual presentations, lab time, individual research/presentations and regular critiques.  A personal camera capable of shooting in RAW is highly recommended."
"Art in Cultural Perspective","4","-","-","This course engages students in the study of visual culture - the interaction between differing cultures as interpreted throughout history. Students examine the intersection of art, cultural and aesthetic heritage past and present.  May be repeated for credit up to two times under different topics. "
"Painting II","4","-","-","This class will focus on the development of personal painting language in conversation with the larger artwork.  Advance materials usage will be addressed in tandem with relevant contemporary painting discourse.  Discussions and critiques are held on a regular basis."
"Graphic Design II","4","-","-","Through a combination of digital and analog media, students will create applied design projects integrating multimedia tools to convey ideas and to generate original content.  The course emphasizes image-based concept development, interactive design, planning for print and digital media, and the development of art direction skills."
"3D Modeling and Animation II","4","-","-","This course expands on computer based 3-D animation with emphasis on asset creation for specific platforms such as animation, game development, or 3D design.  Students will be expected to design fully realized and useable assets for their chosen platform.  Offered alternative years."
"Clay Sculpture II","4","-","-","This course expands the vocabulary of ceramic materials and techniques.  Processes and techniques will be directed in individual and group projects questioning design, function and the expanding potential of sculptural outcomes.  Greater emphasis will be placed on developing individual ideas by directing the ceramic process to address concepts in contemporary sculpture and ceramics.  This course will also delve deeper into topics of ceramic history and contemporary ceramic practices questioning the role of ceramic objects and our relationships with and to them."
"Printmaking II","4","-","-","This course focuses on expanding and enriching practices related to the creation of original prints, including the exploration of alternative printmaking processes and the development of multi-colored images."
"Wheel Throwing II","4","-","-","This course will continue to build from the content and skills acquired from Art 217 in the pursuit of individual style and voice in the production of functional creamic objects.  This advanced course will have greater emphasis on independent original work as guided by shared prompts and course content.  Students with significant experience outside of Luther College are encouraged to inquire about the Consent of Instructor registration option."
"Photography II","4","-","-","This studio course will be a further exploration of photography.  Assignments will become more self-directed.  Exploration of new techniques and materials, such as film based work or alternative printing methods, will be stressed in the course.  Connections to photographers of note, both current and historically relevant, will be made through the work created by the students."
"Critical Theory","4","-","-","An investigation of ideas that have informed and shaped the practice and understanding of art from the late 19th century to the present day.  Students will engage in critical discourse, encounter texts that have changed our concepts of art, and hone their writing skills through the development of personal statements and written analysis of selected readings."
"Studio Projects","4","-","-","This is an open topics studio course with the content determined by the instructor. Topics explored in this course will focus on establishing context in art through individual and collective investigation of contemporary conversations in art and critical theory. Students will make and critique artworks in the context of art practice in the creative process."
"Creative Practice and Critique","4","-","-","This course will prepare students to synthesize ideas and develop content in the creation of original artworks.  Projects will be guided by topics and themes in Contemporary Art introduced by the instructor via discussion, research, and selected shared readings.  Individualized projects will be proposed, discussed, created, critiqued and reworked within the context of the creative process.  This course is required before enrolling in ART 485 Advance Studio Seminar."
"Painting III","2","-","-","The course is designed to allow Art Majors and Minors interested in painting to continue to pursue studio work and conversations in the field of painting.  Students at this level will be responsible for individualized work and will dialog and critique with Painting II students."
"Advanced Studio Seminar","4","-","-","This Art major capstone experience will focus on contemporary conversations in art and art practice.  Students will conduct research and exploration in development of their individual studio art practice.  This research and exploration will result in an Artist Research Statement and Artworks for a culminating Art Exhibition at the end of the term.  The course format is a seminar that centers on student-led discussions and critiques of student artwork.  Students are expected to work independently outside the seminar meeting time.  Additionally, each student will have two Art faculty advisers on their project with regular meetings also outside of the seminar context."
"Survey of Western Art I","4","-","-","This survey course will introduce students to the different styles and functions of art from the Paleolithic to the Gothic age, giving students the background and tools for understanding the visual culture of each period against the cultural background of their times.  Attention is paid to the analysis of the art objects alongside historical texts to allow for a historical interpretation of the past."
"Art History: A Global Perspective","4","-","Global Engagement (GE)","This course will introduce students to the different styles and functions of global art from ancient times to the present day.  Using a case study approach, we will be selective rather than comprehensive.  We will examine the major monuments and artworks from Africa, the Americas, Asia, Europe and other regions across the world.  The course will be a combination of lecture and discussion, prompted by various in-class activities designed to help students critically engage the art, our readings, and the techniques of art history."
